CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.018383314833045006"
0, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.022504881024360657"
0, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.063606932759284973"
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.034989029169082642"
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.033047597855329514"
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.034643515944480896"
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.033017721027135849"
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.028828304260969162"
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.045852780342102051"
0, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.045958288013935089"
0, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.056262202560901642"
0, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.025442773476243019"
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.013995612040162086"
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.01321903895586729"
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.013857406564056873"
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.013207088224589825"
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.011531321331858635"
0, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.01834111288189888"
0, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.018383314833045006"
0, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.022504881024360657"
1, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x)))"
1, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x)))"
1, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.12166473269462585"
1, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.055085029453039169"
1, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.048597507178783417"
1, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.043902803212404251"
1, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.042596768587827682"
1, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.049642853438854218"
1, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.06421864777803421"
1, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.070689648389816284"
1, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.10414865612983704"
1, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.040554910898208618"
1, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.01836167648434639"
1, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.016199169680476189"
1, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.014634267427027225"
1, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.014198922552168369"
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.016547618433833122"
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.02140621654689312"
1, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.023563217371702194"
1, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.034716218709945679"
1, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.12166473269462585"
1, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.055085029453039169"
1, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.048597507178783417"
1, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.043902803212404251"
1, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.042596768587827682"
1, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.049642853438854218"
1, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.06421864777803421"
1, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.070689648389816284"
1, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.10414865612983704"
1, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.040554910898208618"
1, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.01836167648434639"
1, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.016199169680476189"
1, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.014634267427027225"
1, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.014198922552168369"
1, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.016547618433833122"
1, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.02140621654689312"
1, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.023563217371702194"
1, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.034716218709945679"
2, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x)))"
2, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x)))"
2, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.12066856026649475"
2, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.079742610454559326"
2, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.073544494807720184"
2, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.059891223907470703"
2, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.059213291853666306"
2, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.058427996933460236"
2, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.099112451076507568"
2, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.11530528217554092"
2, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.19122670590877533"
2, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.034476730972528458"
2, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.022783603519201279"
2, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.021012712270021439"
2, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.017111778259277344"
2, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.016918083652853966"
2, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.016693713143467903"
2, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.02831784263253212"
2, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.032944366335868835"
2, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.054636202752590179"
2, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.12066856026649475"
2, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.079742610454559326"
2, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.073544494807720184"
2, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.059891223907470703"
2, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.059213291853666306"
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.058427996933460236"
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.099112451076507568"
2, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.11530528217554092"
2, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.19122670590877533"
2, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.034476730972528458"
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.022783603519201279"
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.021012712270021439"
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.017111778259277344"
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.016918083652853966"
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.016693713143467903"
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.02831784263253212"
2, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.032944366335868835"
2, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.054636202752590179"
0, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x)))"
0, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x)))"
0, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.063454590737819672"
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.031410016119480133"
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.02891194075345993"
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.028121808543801308"
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.027028990909457207"
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.027206243947148323"
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.033642303198575974"
0, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.04273652657866478"
0, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.054665762931108475"
0, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.025381835177540779"
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.012564006261527538"
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.011564776301383972"
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.011248723603785038"
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.010811596177518368"
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.010882497765123844"
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.013456921093165874"
0, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.017094610258936882"
0, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.02186630479991436"
0, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.063454590737819672"
0, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.031410016119480133"
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.02891194075345993"
0, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.028121808543801308"
0, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.027028990909457207"
0, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.027206243947148323"
0, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.033642303198575974"
0, comb, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.04273652657866478"
0, comb, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.054665762931108475"
0, comb, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.025381835177540779"
0, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.012564006261527538"
0, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.011564776301383972"
0, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.011248723603785038"
0, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.010811596177518368"
0, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.010882497765123844"
0, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.013456921093165874"
0, comb, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.017094610258936882"
0, comb, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))+0.02186630479991436"
1, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.561694*((1.+(0.31439*x))/(1.+(0.17756*x)))"
1, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.561694*((1.+(0.31439*x))/(1.+(0.17756*x)))"
1, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.12064050137996674"
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.042138919234275818"
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.03711806982755661"
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.036822021007537842"
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.034397732466459274"
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.0362386554479599"
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.044985830783843994"
1, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.064243391156196594"
1, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.097131341695785522"
1, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.040213499218225479"
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.014046305790543556"
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.012372690252959728"
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.012274007312953472"
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.011465910822153091"
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.012079551815986633"
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.014995276927947998"
1, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.021414462476968765"
1, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))-0.032377112656831741"
1, comb, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))+0.12064050137996674"
1, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))+0.042138919234275818"
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))+0.03711806982755661"
1, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))+0.036822021007537842"
1, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))+0.034397732466459274"
1, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.561694*((1.+(0.31439*x))/(1.+(0.17756*x))))+0.0362386554479599"
